,price,floor_area,age,floor,roof,room_num,hall_num,neighborhood_19MayısMahallesi,neighborhood_AcıbademMahallesi,neighborhood_BostancıMahallesi,neighborhood_CaddebostanMahallesi,neighborhood_CaferağaMahallesi,neighborhood_DumlupınarMahallesi,neighborhood_ErenköyMahallesi,neighborhood_EğitimMahallesi,neighborhood_FenerbahçeMahallesi,neighborhood_FeneryoluMahallesi,neighborhood_FikirtepeMahallesi,neighborhood_GöztepeMahallesi,neighborhood_HasanpaşaMahallesi,neighborhood_KozyatağıMahallesi,neighborhood_KoşuyoluMahallesi,neighborhood_MerdivenköyMahallesi,neighborhood_OsmanağaMahallesi,neighborhood_RasimpaşaMahallesi,neighborhood_SahrayıCeditMahallesi,neighborhood_SuadiyeMahallesi,neighborhood_ZühtüpaşaMahallesi
185,3975000,130,4,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,4000000,125,3,5,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,15500000,205,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
188,4795000,140,5,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
189,4295000,165,21,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,4495000,190,23,4,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,5850000,200,4,10,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,4150000,185,26,2,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,3100000,150,26,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
194,5750000,165,0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2450000,140,27,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
196,2885000,110,31,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,4790000,140,0,7,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,4350000,130,30,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
